1,Fantasy
2,Shounen
3,Slice of Life
4,Action
5,Comedy
6,Drama
7,School
8,Horror
9,Sci-Fi
10,Supernatural
11,Historical
12,Adventure
13,Sports
14,Romance
15,Seinen
16,Super Power
17,Kids
18,Magic
19,Mystery
20,Mecha
21,Game
22,Shoujo
23,Ecchi
24,Josei
25,Shounen Ai
26,Yuri
27,Gender Bender
28,Harem
29,Shoujo Ai
30,Vampire
