1,1,1
2,1,2
3,1,3
4,2,4
5,2,1
6,2,2
7,3,2
8,3,3
9,4,5
10,4,3
11,5,5
12,5,2
13,5,10
14,6,5
15,6,11
16,6,2
17,7,4
18,7,6
19,7,9
20,7,2
21,8,5
22,8,6
23,8,7
24,8,2
25,9,4
26,9,5
27,9,8
28,9,9
29,9,2
30,10,2
31,10,3
32,11,4
33,11,12
34,11,2
35,11,10
36,12,2
37,12,13
38,13,14
39,13,2
40,14,5
41,14,6
42,14,15
43,14,13
44,15,1
45,15,2
46,16,5
47,16,14
48,16,2
49,16,10
50,17,5
51,17,14
52,17,2
53,17,10
54,18,5
55,18,14
56,18,2
57,18,10
58,18,13
59,19,4
60,19,2
61,20,4
62,20,2
63,21,4
64,21,12
65,21,9
66,22,4
67,22,12
68,22,1
69,22,2
70,22,16
71,23,5
72,23,11
73,23,2
74,23,10
75,24,1
76,24,14
77,24,2
78,25,5
79,25,17
80,25,2
81,26,4
82,26,12
83,26,18
84,26,2
85,27,12
86,27,5
87,27,2
88,28,4
89,28,6
90,28,1
91,28,8
92,28,2
93,29,4
94,29,1
95,29,2
96,30,4
97,30,13
98,31,12
99,31,5
100,31,1
101,31,2
102,32,8
103,32,2
104,33,5
105,33,14
106,33,2
107,34,2
108,34,13
109,35,5
110,35,2
111,36,5
112,36,2
113,37,4
114,37,5
115,37,2
116,38,2
117,39,6
118,39,11
119,39,2
120,40,6
121,40,8
122,40,2
123,41,4
124,41,5
125,41,2
126,42,4
127,42,1
128,42,2
129,43,8
130,43,19
131,43,2
132,44,5
133,44,14
134,44,2
135,45,5
136,45,14
137,45,2
138,46,4
139,46,1
140,46,11
141,46,2
142,47,8
143,47,2
144,48,5
145,48,2
146,49,5
147,49,20
148,49,9
149,50,2
150,51,2
151,52,4
152,52,12
153,52,6
154,52,2
155,53,5
156,53,7
157,53,2
158,54,12
159,54,21
160,54,2
161,55,4
162,55,5
163,55,2
164,55,10
165,56,5
166,56,2
167,56,10
168,57,4
169,57,2
170,58,14
171,58,22
172,59,2
173,60,5
174,61,2
175,62,8
176,62,2
177,63,12
178,63,5
179,63,23
180,63,24
181,63,14
182,64,4
183,64,12
184,64,1
185,65,4
186,65,12
187,65,16
188,66,4
189,66,12
190,66,16
191,66,2
192,67,14
193,67,22
194,68,25
195,68,3
196,69,4
197,69,2
198,69,16
199,69,10
200,70,5
201,70,14
202,70,7
203,70,3
204,71,5
205,71,14
206,71,7
207,72,7
208,72,9
209,72,16
210,73,6
211,73,2
212,73,3
213,74,5
214,74,14
215,74,7
216,1,6
217,75,4
218,75,6
219,75,16
220,75,10
221,76,14
222,76,22
223,77,5
224,77,19
225,77,3
226,78,5
227,78,23
228,78,14
229,78,2
230,79,5
231,79,14
232,79,7
233,79,15
234,80,5
235,80,6
236,80,14
237,80,10
238,81,4
239,81,11
240,82,7
241,82,26
242,83,7
243,83,26
244,84,4
245,84,6
246,85,12
247,85,1
248,86,5
249,86,14
250,86,7
251,87,5
252,87,1
253,87,2
254,88,5
255,88,14
256,88,15
257,89,1
258,90,1
259,90,14
260,91,5
261,91,27
262,91,25
263,92,23
264,92,27
265,92,14
266,92,3
267,1,14
268,93,5
269,93,23
270,94,14
271,94,9
272,94,2
273,95,5
274,95,14
275,95,2
276,96,5
277,96,2
278,96,3
279,97,23
280,97,28
281,97,14
282,97,13
283,98,4
284,98,6
285,98,15
286,99,5
287,99,29
288,99,3
289,100,4
290,100,2
291,100,10
292,101,3
293,101,10
294,101,30
295,102,4
296,102,10
